№,Дата и время (UTC),Ракета,Площадка,Успех
1,2006-03-24T22:30:00.000Z,Falcon 1,Kwajalein Atoll,False
2,2007-03-21T01:10:00.000Z,Falcon 1,Kwajalein Atoll,False
3,2008-08-03T03:34:00.000Z,Falcon 1,Kwajalein Atoll,False
4,2008-09-28T23:15:00.000Z,Falcon 1,Kwajalein Atoll,True
5,2009-07-13T03:35:00.000Z,Falcon 1,Kwajalein Atoll,True
6,2010-06-04T18:45:00.000Z,Falcon 9,CCSFS SLC 40,True
7,2010-12-08T15:43:00.000Z,Falcon 9,CCSFS SLC 40,True
8,2012-05-22T07:44:00.000Z,Falcon 9,CCSFS SLC 40,True
9,2012-10-08T00:35:00.000Z,Falcon 9,CCSFS SLC 40,True
10,2013-03-01T19:10:00.000Z,Falcon 9,CCSFS SLC 40,True
11,2013-09-29T16:00:00.000Z,Falcon 9,VAFB SLC 4E,True
12,2013-12-03T22:41:00.000Z,Falcon 9,CCSFS SLC 40,True
13,2014-01-06T18:06:00.000Z,Falcon 9,CCSFS SLC 40,True
14,2014-04-18T19:25:00.000Z,Falcon 9,CCSFS SLC 40,True
15,2014-07-14T15:15:00.000Z,Falcon 9,CCSFS SLC 40,True
16,2014-08-05T08:00:00.000Z,Falcon 9,CCSFS SLC 40,True
17,2014-09-07T05:00:00.000Z,Falcon 9,CCSFS SLC 40,True
18,2014-09-21T05:52:00.000Z,Falcon 9,CCSFS SLC 40,True
19,2015-01-10T09:47:00.000Z,Falcon 9,CCSFS SLC 40,True
20,2015-02-11T23:03:00.000Z,Falcon 9,CCSFS SLC 40,True
21,2015-03-02T03:50:00.000Z,Falcon 9,CCSFS SLC 40,True
22,2015-04-14T20:10:00.000Z,Falcon 9,CCSFS SLC 40,True
23,2015-04-27T23:03:00.000Z,Falcon 9,CCSFS SLC 40,True
24,2015-06-28T14:21:00.000Z,Falcon 9,CCSFS SLC 40,False
25,2015-12-22T01:29:00.000Z,Falcon 9,CCSFS SLC 40,True
26,2016-01-17T15:42:00.000Z,Falcon 9,VAFB SLC 4E,True
27,2016-03-04T23:35:00.000Z,Falcon 9,CCSFS SLC 40,True
28,2016-04-08T20:43:00.000Z,Falcon 9,CCSFS SLC 40,True
29,2016-05-06T05:21:00.000Z,Falcon 9,CCSFS SLC 40,True
30,2016-05-27T21:39:00.000Z,Falcon 9,CCSFS SLC 40,True
31,2016-06-15T14:29:00.000Z,Falcon 9,CCSFS SLC 40,True
